Port Name,State,Port Code,Border,Date,Measure,Value
Progreso,TX,2309,US-Mexico Border,6/1/2018 00:00,Trucks,3266
Lukeville,AZ,2602,US-Mexico Border,6/1/2018 00:00,Bus Passengers,189
Lukeville,AZ,2602,US-Mexico Border,6/1/2018 00:00,Pedestrians,3150
Bridgewater,ME,127,US-Canada Border,6/1/2018 00:00,Truck Containers Full,203
Calexico East,CA,2507,US-Mexico Border,6/1/2018 00:00,Train Passengers,20
Hannah,ND,3408,US-Canada Border,6/1/2018 00:00,Personal Vehicle Passengers,157
Blaine,WA,3004,US-Canada Border,6/1/2018 00:00,Trains,248
Sumas,WA,3009,US-Canada Border,6/1/2018 00:00,Pedestrians,4043
Sasabe,AZ,2606,US-Mexico Border,6/1/2018 00:00,Personal Vehicle Passengers,3905
Hidalgo,TX,2305,US-Mexico Border,6/1/2018 00:00,Trucks,53592
Roseau,MN,3426,US-Canada Border,6/1/2018 00:00,Bus Passengers,55
Fort Fairfield,ME,107,US-Canada Border,6/1/2018 00:00,Trucks,1339
Scobey,MT,3309,US-Canada Border,6/1/2018 00:00,Trucks,27
Laurier,WA,3016,US-Canada Border,5/1/2018 00:00,Trucks,751
Del Rio,TX,2302,US-Mexico Border,5/1/2018 00:00,Pedestrians,15413
Richford,VT,203,US-Canada Border,5/1/2018 00:00,Truck Containers Full,136
Richford,VT,203,US-Canada Border,5/1/2018 00:00,Personal Vehicles,8836
Port Huron,MI,3802,US-Canada Border,5/1/2018 00:00,Trucks,74647
Boundary,WA,3015,US-Canada Border,5/1/2018 00:00,Trucks,39
Alcan,AK,3104,US-Canada Border,5/1/2018 00:00,Bus Passengers,115
Sault Sainte Marie,MI,3803,US-Canada Border,5/1/2018 00:00,Buses,80
Highgate Springs-Alburg,VT,212,US-Canada Border,5/1/2018 00:00,Trains,23
El Paso,TX,2402,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,1065859
International Falls-Ranier,MN,3604,US-Canada Border,5/1/2018 00:00,Trucks,1377
Baudette,MN,3424,US-Canada Border,5/1/2018 00:00,Personal Vehicles,15117
Ambrose,ND,3410,US-Canada Border,5/1/2018 00:00,Personal Vehicles,76
Port Angeles,WA,3007,US-Canada Border,5/1/2018 00:00,Personal Vehicles,5497
Van Buren,ME,108,US-Canada Border,5/1/2018 00:00,Pedestrians,5
Antler,ND,3413,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,73
Vanceboro,ME,105,US-Canada Border,5/1/2018 00:00,Train Passengers,40
Piegan,MT,3316,US-Canada Border,5/1/2018 00:00,Bus Passengers,54
Champlain-Rouses Point,NY,712,US-Canada Border,5/1/2018 00:00,Personal Vehicles,85152
Calexico East,CA,2507,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,317600
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Rail Containers Empty,19231
Point Roberts,WA,3017,US-Canada Border,5/1/2018 00:00,Pedestrians,2093
Laurier,WA,3016,US-Canada Border,5/1/2018 00:00,Trains,5
Sault Sainte Marie,MI,3803,US-Canada Border,5/1/2018 00:00,Rail Containers Full,1643
Baudette,MN,3424,US-Canada Border,5/1/2018 00:00,Pedestrians,41
Roma,TX,2310,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,55
Roma,TX,2310,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,70284
Nogales,AZ,2604,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,592545
Laurier,WA,3016,US-Canada Border,5/1/2018 00:00,Rail Containers Full,58
Nighthawk,WA,3011,US-Canada Border,5/1/2018 00:00,Personal Vehicles,527
Laurier,WA,3016,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,14
Sault Sainte Marie,MI,3803,US-Canada Border,5/1/2018 00:00,Train Passengers,62
Eastport,ID,3302,US-Canada Border,5/1/2018 00:00,Pedestrians,210
Maida,ND,3416,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,3
Port Angeles,WA,3007,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,12555
Del Rio,TX,2302,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,270897
Progreso,TX,2309,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,110914
Calexico East,CA,2507,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,568946
San Luis,AZ,2608,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,277206
Skagway,AK,3103,US-Canada Border,5/1/2018 00:00,Trains,45
Dunseith,ND,3422,US-Canada Border,5/1/2018 00:00,Bus Passengers,216
Boundary,WA,3015,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,4961
Raymond,MT,3301,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,3746
Brownsville,TX,2301,US-Mexico Border,5/1/2018 00:00,Rail Containers Full,851
Otay Mesa,CA,2506,US-Mexico Border,5/1/2018 00:00,Truck Containers Empty,13584
Sault Sainte Marie,MI,3803,US-Canada Border,5/1/2018 00:00,Bus Passengers,840
Pembina,ND,3401,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,2422
Vanceboro,ME,105,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,32
Hidalgo,TX,2305,US-Mexico Border,5/1/2018 00:00,Bus Passengers,23083
Roseau,MN,3426,US-Canada Border,5/1/2018 00:00,Truck Containers Full,125
Metaline Falls,WA,3025,US-Canada Border,5/1/2018 00:00,Bus Passengers,70
Raymond,MT,3301,US-Canada Border,5/1/2018 00:00,Bus Passengers,128
Beecher Falls,VT,206,US-Canada Border,5/1/2018 00:00,Personal Vehicles,5044
Alcan,AK,3104,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,13182
Laredo,TX,2304,US-Mexico Border,5/1/2018 00:00,Buses,3105
Hansboro,ND,3415,US-Canada Border,5/1/2018 00:00,Buses,1
Brownsville,TX,2301,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,13278
Willow Creek,MT,3325,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,426
Ferry,WA,3013,US-Canada Border,5/1/2018 00:00,Trucks,54
Portal,ND,3403,US-Canada Border,5/1/2018 00:00,Bus Passengers,513
Port Huron,MI,3802,US-Canada Border,5/1/2018 00:00,Rail Containers Full,20767
Port Angeles,WA,3007,US-Canada Border,5/1/2018 00:00,Bus Passengers,111
Trout River,NY,715,US-Canada Border,5/1/2018 00:00,Bus Passengers,143
Otay Mesa,CA,2506,US-Mexico Border,5/1/2018 00:00,Pedestrians,282643
Sweetgrass,MT,3310,US-Canada Border,5/1/2018 00:00,Bus Passengers,642
Vanceboro,ME,105,US-Canada Border,5/1/2018 00:00,Trucks,34
Roseau,MN,3426,US-Canada Border,5/1/2018 00:00,Buses,3
Calais,ME,115,US-Canada Border,5/1/2018 00:00,Trains,15
Alexandria Bay,NY,708,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,92822
Beecher Falls,VT,206,US-Canada Border,5/1/2018 00:00,Pedestrians,17
Metaline Falls,WA,3025,US-Canada Border,5/1/2018 00:00,Personal Vehicles,2162
Calexico East,CA,2507,US-Mexico Border,5/1/2018 00:00,Truck Containers Empty,14673
Grand Portage,MN,3613,US-Canada Border,5/1/2018 00:00,Personal Vehicles,18837
Nogales,AZ,2604,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,35271
Tecate,CA,2505,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,182871
Danville,WA,3012,US-Canada Border,5/1/2018 00:00,Pedestrians,4
Douglas,AZ,2601,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,1871
Nogales,AZ,2604,US-Mexico Border,5/1/2018 00:00,Pedestrians,305094
Turner,MT,3306,US-Canada Border,5/1/2018 00:00,Personal Vehicles,617
Norton,VT,211,US-Canada Border,5/1/2018 00:00,Train Passengers,41
Columbus,NM,2406,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,63379
Westhope,ND,3419,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,378
Calexico East,CA,2507,US-Mexico Border,5/1/2018 00:00,Rail Containers Full,30
Fortuna,ND,3417,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,1901
Roma,TX,2310,US-Mexico Border,5/1/2018 00:00,Buses,32
Sault Sainte Marie,MI,3803,US-Canada Border,5/1/2018 00:00,Truck Containers Full,3336
Santa Teresa,NM,2408,US-Mexico Border,5/1/2018 00:00,Buses,18
Limestone,ME,118,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,2466
Progreso,TX,2309,US-Mexico Border,5/1/2018 00:00,Trucks,4371
Boquillas,TX,2410,US-Mexico Border,5/1/2018 00:00,Pedestrians,1441
Van Buren,ME,108,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,21114
Dunseith,ND,3422,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,469
Laredo,TX,2304,US-Mexico Border,5/1/2018 00:00,Trains,349
Frontier,WA,3020,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,6723
Boundary,WA,3015,US-Canada Border,5/1/2018 00:00,Trains,27
Fort Kent,ME,110,US-Canada Border,5/1/2018 00:00,Pedestrians,62
Santa Teresa,NM,2408,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,46320
Nighthawk,WA,3011,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,930
Grand Portage,MN,3613,US-Canada Border,5/1/2018 00:00,Bus Passengers,903
Rio Grande City,TX,2307,US-Mexico Border,5/1/2018 00:00,Truck Containers Empty,924
Columbus,NM,2406,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,642
Nogales,AZ,2604,US-Mexico Border,5/1/2018 00:00,Bus Passengers,16888
Port Huron,MI,3802,US-Canada Border,5/1/2018 00:00,Personal Vehicles,132611
Lancaster,MN,3430,US-Canada Border,5/1/2018 00:00,Truck Containers Full,35
Warroad,MN,3423,US-Canada Border,5/1/2018 00:00,Trucks,469
Oroville,WA,3019,US-Canada Border,5/1/2018 00:00,Trucks,2575
Richford,VT,203,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,241
Walhalla,ND,3407,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,503
Columbus,NM,2406,US-Mexico Border,5/1/2018 00:00,Buses,119
Sarles,ND,3409,US-Canada Border,5/1/2018 00:00,Trucks,25
Calexico East,CA,2507,US-Mexico Border,5/1/2018 00:00,Pedestrians,25419
Trout River,NY,715,US-Canada Border,5/1/2018 00:00,Buses,3
Boundary,WA,3015,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,609
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,244448
San Luis,AZ,2608,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,499962
Houlton,ME,106,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,35085
Calexico East,CA,2507,US-Mexico Border,5/1/2018 00:00,Trains,22
Trout River,NY,715,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,878
Scobey,MT,3309,US-Canada Border,5/1/2018 00:00,Trucks,33
Derby Line,VT,209,US-Canada Border,5/1/2018 00:00,Trucks,8542
Van Buren,ME,108,US-Canada Border,5/1/2018 00:00,Rail Containers Empty,343
Champlain-Rouses Point,NY,712,US-Canada Border,5/1/2018 00:00,Train Passengers,2639
Ferry,WA,3013,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,1590
Dalton Cache,AK,3106,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,113
Sweetgrass,MT,3310,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,2209
Douglas,AZ,2601,US-Mexico Border,5/1/2018 00:00,Pedestrians,71973
Dalton Cache,AK,3106,US-Canada Border,5/1/2018 00:00,Personal Vehicles,1716
Turner,MT,3306,US-Canada Border,5/1/2018 00:00,Pedestrians,4
Limestone,ME,118,US-Canada Border,5/1/2018 00:00,Trucks,625
Norton,VT,211,US-Canada Border,5/1/2018 00:00,Trucks,1142
Friday Harbor,WA,3014,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,728
Highgate Springs-Alburg,VT,212,US-Canada Border,5/1/2018 00:00,Train Passengers,46
Algonac,MI,3814,US-Canada Border,5/1/2018 00:00,Personal Vehicles,4406
Roma,TX,2310,US-Mexico Border,5/1/2018 00:00,Pedestrians,22205
Neche,ND,3404,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,5551
Houlton,ME,106,US-Canada Border,5/1/2018 00:00,Buses,22
Calexico,CA,2503,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,382314
Hidalgo,TX,2305,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,379737
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,12743
Boundary,WA,3015,US-Canada Border,5/1/2018 00:00,Train Passengers,54
Limestone,ME,118,US-Canada Border,5/1/2018 00:00,Truck Containers Full,488
Oroville,WA,3019,US-Canada Border,5/1/2018 00:00,Truck Containers Full,1604
Oroville,WA,3019,US-Canada Border,5/1/2018 00:00,Personal Vehicles,20061
Eagle Pass,TX,2303,US-Mexico Border,5/1/2018 00:00,Bus Passengers,5000
Hidalgo,TX,2305,US-Mexico Border,5/1/2018 00:00,Trucks,57750
Eastport,ME,103,US-Canada Border,5/1/2018 00:00,Trucks,236
Highgate Springs-Alburg,VT,212,US-Canada Border,5/1/2018 00:00,Rail Containers Full,1329
Laredo,TX,2304,US-Mexico Border,5/1/2018 00:00,Truck Containers Full,147117
Anacortes,WA,3010,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,6016
Naco,AZ,2603,US-Mexico Border,5/1/2018 00:00,Trucks,277
El Paso,TX,2402,US-Mexico Border,5/1/2018 00:00,Rail Containers Full,3268
Blaine,WA,3004,US-Canada Border,5/1/2018 00:00,Buses,1386
Raymond,MT,3301,US-Canada Border,5/1/2018 00:00,Buses,8
Lynden,WA,3023,US-Canada Border,5/1/2018 00:00,Personal Vehicles,57560
Northgate,ND,3406,US-Canada Border,5/1/2018 00:00,Trains,14
Massena,NY,704,US-Canada Border,5/1/2018 00:00,Pedestrians,28
Norton,VT,211,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,367
Madawaska,ME,109,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,49816
Northgate,ND,3406,US-Canada Border,5/1/2018 00:00,Truck Containers Full,373
Andrade,CA,2502,US-Mexico Border,5/1/2018 00:00,Personal Vehicles,49346
Morgan,MT,3319,US-Canada Border,5/1/2018 00:00,Buses,1
Champlain-Rouses Point,NY,712,US-Canada Border,5/1/2018 00:00,Rail Containers Full,4077
Whitlash,MT,3321,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,82
Piegan,MT,3316,US-Canada Border,5/1/2018 00:00,Truck Containers Full,134
Brownsville,TX,2301,US-Mexico Border,5/1/2018 00:00,Personal Vehicle Passengers,884418
Antler,ND,3413,US-Canada Border,5/1/2018 00:00,Trucks,84
Massena,NY,704,US-Canada Border,5/1/2018 00:00,Personal Vehicles,79958
International Falls-Ranier,MN,3604,US-Canada Border,5/1/2018 00:00,Personal Vehicles,32003
Frontier,WA,3020,US-Canada Border,5/1/2018 00:00,Trucks,1857
Bridgewater,ME,127,US-Canada Border,5/1/2018 00:00,Personal Vehicle Passengers,6598
Blaine,WA,3004,US-Canada Border,5/1/2018 00:00,Personal Vehicles,387931
Calais,ME,115,US-Canada Border,5/1/2018 00:00,Truck Containers Full,4588
Del Rio,TX,2302,US-Mexico Border,5/1/2018 00:00,Truck Containers Empty,1507
Eastport,ID,3302,US-Canada Border,5/1/2018 00:00,Bus Passengers,263
Boundary,WA,3015,US-Canada Border,5/1/2018 00:00,Pedestrians,8
Sumas,WA,3009,US-Canada Border,5/1/2018 00:00,Train Passengers,39
Sarles,ND,3409,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,19
Grand Portage,MN,3613,US-Canada Border,5/1/2018 00:00,Trucks,1123
Grand Portage,MN,3613,US-Canada Border,5/1/2018 00:00,Buses,56
Sarles,ND,3409,US-Canada Border,5/1/2018 00:00,Buses,5
Danville,WA,3012,US-Canada Border,5/1/2018 00:00,Personal Vehicles,3133
Blaine,WA,3004,US-Canada Border,5/1/2018 00:00,Truck Containers Full,25669
Buffalo-Niagara Falls,NY,901,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,18730
Pembina,ND,3401,US-Canada Border,5/1/2018 00:00,Truck Containers Empty,2706
